id,relevance
1,2.627
4,2.5484
5,2.6186
6,2.6703
7,2.6703
8,2.6171
10,2.4896
11,2.4528
12,2.4927
13,2.6544
14,2.5426
15,2.5971
19,2.8043
22,2.8909
24,2.18564166667
25,2.7601
26,2.6165
28,2.505
29,2.505
30,2.505
31,2.4749
32,2.505
33,2.4982
36,2.6332
39,2.2903
40,2.6471
41,2.8434
42,2.6
43,2.6271
44,2.6368
45,2.6102
46,2.5867
47,2.4417
49,2.5688
50,2.6285
52,2.5491
53,2.5525
54,2.5491
55,2.5556
56,2.5491
57,2.5491
58,2.5107
59,2.5288
60,2.4698
61,2.4831
62,2.4532
63,2.64042
64,2.64042
66,2.7868
67,2.0756
68,1.7496
70,2.0322
71,2.049
72,1.9428
73,1.9094
74,1.9428
76,1.9296
77,1.9428
78,2.0797
79,2.0916
80,1.9994
82,1.9896
83,2.0423
84,1.9365
86,2.0043
87,2.0709
89,2.1374
91,1.9891
93,2.1308
94,2.1244
95,2.1244
96,2.1374
97,2.1341
98,2.174
99,2.1374
100,2.1247
102,2.1929
103,2.1209
104,2.0877
107,2.1374
108,2.1244
109,2.5163
110,2.5633
111,2.6399
112,2.2283
115,2.2549
116,2.179
118,2.192
119,2.1757
121,2.1826
124,2.6498
126,2.6599
128,2.6764
129,2.6632
130,2.6698
131,2.2899
132,2.2967
133,2.26996666667
134,2.2058
135,2.209
137,2.2686
139,2.2891
140,2.2389
141,2.2553
142,2.2714
144,2.2552
145,2.2552
146,2.2619
148,2.1991
151,1.9381
152,1.8057
153,1.9752
154,1.9718
155,1.9785
156,1.9785
159,2.1288
160,1.9686
161,2.1213
163,2.96
167,2.1599
168,2.1999
169,2.1965
170,2.1767
171,2.1469
173,2.9272
174,2.8248
175,2.8776
176,2.9241
180,2.9173
183,2.8248
184,2.8547
185,2.858
187,2.9133
188,2.9241
189,2.9241
190,2.7952
192,2.9142
194,2.8772
196,1.63665
197,1.64665
198,1.8191
199,2.0424
200,2.0123
204,2.3473
206,2.4273
207,2.5419
208,2.5419
209,2.5068
211,2.7793
212,2.5898
213,2.7793
216,2.7393
217,2.5953
218,2.5017
219,2.6018
220,2.5952
221,2.6052
222,2.6019
224,2.5047
225,2.5114
228,2.5147
229,2.4748
230,2.5619
231,2.7392
232,2.7392
234,2.821
235,2.8276
236,2.4802
237,2.4902
238,2.4802
239,2.6129
240,2.5684
242,2.6788
243,2.6019
244,2.5685
246,2.6029
247,2.6029
248,2.2493
249,2.2358
250,2.2625
251,2.2332
252,2.1899
253,1.9797
254,2.4084
256,2.3914
258,2.1075
260,2.1736
262,2.1441
263,2.4081
264,2.0869
265,2.001
267,2.2038
268,2.4685
269,2.0281
271,2.66778333333
273,2.661865
274,2.64478
277,2.5295
278,2.4694
279,2.4799
280,2.543
281,2.5295
282,2.5462
283,2.0999
285,2.1099
286,2.0665
287,2.1066
288,2.6717
289,2.6717
291,2.688
292,2.6713
295,2.7495
296,2.7495
298,2.8193
299,2.7561
300,2.8461
301,2.7997
302,2.3735
303,2.59
304,2.7034
306,2.7839
307,2.7639
308,2.8443
309,2.8338
310,2.8345
311,2.8106
312,2.8338
313,2.7538
315,2.8211
316,2.7978
317,2.7372
320,2.831
321,2.4546
322,2.4613
324,2.4061
325,2.3735
326,2.5037
328,2.3822
329,2.3655
330,2.7099
332,2.6503
333,2.6246
336,2.4821
337,1.6963
338,1.6963
339,1.6996
342,2.215
344,2.2721
345,2.4716
348,2.2084
349,2.7992
352,2.7492
353,2.7392
356,2.8461
357,2.8461
358,2.8361
360,2.4276
362,2.739
364,2.3542
366,2.3211
367,2.391
368,2.0311
369,2.5234
370,2.51
371,2.51
372,2.4833
376,2.6104
377,2.6405
378,2.6645
379,2.6846
380,2.6883
381,2.6978
382,2.7237
383,2.6913
384,2.6242
386,2.641
387,2.5806
388,2.6883
390,2.4394
391,2.3753
392,2.4045
393,2.2531
394,2.3421
395,2.3221
396,2.4134
398,2.3929
399,2.4797
404,2.7403
405,2.6392
406,2.4829
409,2.3799
410,2.3758
412,2.3746
414,2.4148
415,2.3753
416,2.4124
417,2.3753
419,2.4423
420,2.3859
423,2.2426
424,2.2741
425,2.3789
426,2.3033
427,2.27
428,2.3469
429,2.3502
430,2.3736
431,2.3469
432,2.6966
433,2.6464
434,2.6862
435,2.6707
436,2.6299
437,2.7668
438,2.7064
439,2.643
441,2.757
442,2.6966
443,1.8259
448,2.8175
449,2.757
450,2.7932
451,2.8902
453,2.7932
457,2.7668
460,2.8334
462,2.8567
463,2.8601
464,2.7662
465,2.8628
466,2.9565
467,2.7327
471,2.6388
472,2.9197
474,2.9264
477,2.3909
482,2.56
483,2.5534
484,2.51
486,1.9599
487,2.7632
488,2.7165
489,2.77
490,2.7632
493,2.255
494,2.1052
495,2.5178
496,2.378
498,2.2815
499,2.6452
502,2.3634
503,2.2406
504,2.2406
505,2.2139
506,2.5371
507,2.2405
509,2.3445
510,2.3442
512,2.3475
513,2.3475
514,2.3511
515,2.3343
518,1.698
519,1.7884
520,2.3435
521,2.1728
522,2.413
523,2.3496
525,2.4596
526,2.3632
527,2.3563
528,2.3199
529,2.4694
530,2.4495
531,2.3797
532,2.4596
534,2.0766
535,2.0766
537,2.0766
538,2.3902
539,2.3902
540,2.3902
541,2.1868
543,2.71
545,2.7167
546,2.68
547,2.7066
548,2.5492
550,2.7298
552,2.6768
553,2.3738
554,2.6795
555,2.533
556,2.6668
558,2.6063
560,2.7298
561,2.7298
564,2.7569
565,2.2535
566,2.233
567,2.5593
569,2.4192
570,2.3091
574,2.3223
575,2.1871
577,2.436
578,2.9703
579,2.887
580,2.9072
586,2.3646
587,2.1813
588,2.3245
589,2.3478
590,2.3345
592,2.358
594,2.1914
596,2.6336
597,2.6303
598,2.6102
599,2.6134
601,2.4736
602,2.7335
603,2.6268
604,2.5522
607,2.5692
608,2.535
609,2.4885
610,2.4181
612,2.4246
613,2.559
614,2.4719
615,2.5389
616,2.3787
617,2.3956
618,2.3483
620,2.419
621,2.4253
622,2.4587
623,1.8988
624,1.8821
625,1.9021
627,1.8188
628,2.2385
629,2.98
631,2.9633
632,2.96
633,2.3445
638,2.4217
639,2.2367
641,2.6661
645,2.7113
647,2.6343
648,2.5208
649,2.628
650,2.7044
651,2.6745
654,1.7865
655,2.5726
656,2.6423
657,2.8028
658,2.5462
664,2.5121
665,2.4676
667,2.4085
672,2.5275
673,2.1034
675,2.47613333333
676,2.45953333333
678,2.47943333333
681,2.4962
683,2.3834
684,2.8934
685,2.8836
689,2.1131
692,2.0214
693,2.0014
694,2.0115
695,1.7543
697,2.7635
698,2.7468
699,2.78
701,2.7867
702,2.7867
703,2.3086
704,2.3087
705,2.3087
706,2.3019
707,2.2488
708,2.2957
709,2.1859
710,2.3763
711,2.3696
714,2.4843
716,2.5781
717,2.508
719,2.5816
720,2.593
721,2.7762
723,2.4525
724,2.6394
725,2.6286
727,2.6286
728,2.6286
729,2.6417
730,2.3151
732,2.5382
733,2.5425
735,2.4781
736,2.5118
738,2.6873
741,2.5932
744,2.7732
746,2.7932
747,1.756
750,1.7262
752,1.7591
754,1.7625
755,2.6933
757,2.7893
761,2.1469
762,1.9982
766,1.5108
767,1.4607
768,2.1401
769,2.1469
770,1.7108
772,2.1399
774,2.2151
775,2.1162
776,2.1031
777,2.1098
779,2.0966
780,2.5772
781,2.5568
782,2.5473
783,2.1397
785,2.1048
786,2.0513
788,2.2983
789,2.2983
792,2.2015
793,2.2283
794,2.8835
795,1.9357
796,2.3114
797,2.7905
798,2.797
799,2.8104
802,2.2958
803,2.3224
804,2.3424
805,2.7458
806,2.7356
807,2.7356
808,2.7028
809,2.746
810,2.589
813,2.595
814,2.2051
815,2.6842
816,2.7303
820,2.1951
821,2.1253
822,2.2851
823,2.5676
825,2.6143
827,2.4837
829,2.9163
830,2.8928
833,2.9164
834,2.9598
835,2.8395
836,2.9129
838,2.8395
839,2.866
840,2.5775
841,2.5775
842,2.3508
845,2.3407
846,2.0464
848,2.1333
849,2.1433
850,2.0402
851,2.15
853,2.4731
854,2.4698
855,2.5666
856,2.4599
858,2.3932
859,2.6601
860,2.3095
861,2.4397
863,1.9577
864,2.1538
865,1.9079
866,1.9642
870,2.0502
871,2.0468
873,2.06
874,2.0367
875,1.7604
877,1.9675
879,2.3684
880,2.1169
883,1.9343
884,1.974
887,2.355
888,1.974
889,1.951
890,1.9542
891,1.9211
892,2.4206
896,2.5901
897,2.2035
900,2.4312
901,2.7903
903,2.7666
904,2.7134
905,2.4517
906,2.115
907,2.0417
911,2.1017
913,1.875
914,1.8651
915,1.6117
916,1.7851
917,1.7917
919,1.6717
920,1.7967
921,1.7367
924,2.5781
925,2.5647
926,2.5646
927,2.6454
930,2.1803
931,2.1803
